ImageName,Nueva,,,,,,,,,,,,,
des_ades_kids_vis19_drzn_200ml_4.jpg,A soy-based AdeS drink with peach juice in a 200-mililiters cardboard carton,,,,,,,,,,,,,
des_ades_kids_vis19_mango_200ml_4.jpg,A soy-based AdeS drink with mango juice in a 200-mililiters cardboard carton,,,,,,,,,,,,,
7501005114509_0.jpg,A soy-based AdeS drink with apple juice in a 200-mililiters cardboard carton,,,,,,,,,,,,,
ps-ades-manzana-946ml-carton_2_5.jpg,A soy-based AdeS drink with apple juice in a 946-mililiters cardboard carton,,,,,,,,,,,,,
163559.png,A soy-based AdeS drink in a 946-mililiters cardboard carton,,,,,,,,,,,,,
7501005102728_0.jpg,A soy-based AdeS drink in a 946-mililiters cardboard carton,,,,,,,,,,,,,
coca-cola_caf_espresso_235ml_2.jpg,A Coca-Cola soda with Espresso Coffee in a 235-mililiters can ,,,,,,,,,,,,,
coca-cola-light-lata-235ml.png,A Coca-Cola Light soda in a 235-mililiters can ,,,,,,,,,,,,,
screenshot_157__1_2.png,A Coca-Cola Light soda in a 1.5-liters plastic bottle,,,,,,,,,,,,,
coca-cola-light-pnr-1l.png,A Coca-Cola Light soda in a 1-liter plastic bottle,,,,,,,,,,,,,
coca-cola-light-pnr-2.5l.png,A Coca-Cola Light soda in a 2.5-liters plastic bottle,,,,,,,,,,,,,
coca-cola-light-pnr-2l.png,A Coca-Cola Light soda in a 2-liters plastic bottle,,,,,,,,,,,,,
coca-cola-light-pnr-600ml.png,A Coca-Cola Light soda in a 600-mililiters plastic bottle,,,,,,,,,,,,,
225_coca-cola-light-235-ml-botella-vidrio-6p_6.jpg,A Coca-Cola Light soda in a 235-mililiters glass bottle,,,,,,,,,,,,,
coca-cola-light-vidrio-355ml.png,A Coca-Cola Light soda in a 355-mililiters glass bottle,,,,,,,,,,,,,
cceth-669-productshots__0006_cocacola_light_3_3.png,A Coca-Cola Light soda  in a 500-mililiters returnable glass bottle,,,,,,,,,,,,,
232_coca-cola-light-sin-cafeina-600-ml-botella-pet-12p_2.jpg,A Coca-Cola Light caffeine free soda in a 600-mililiters plastic bottle,,,,,,,,,,,,,
coca-cola-original-lata-235ml_2.jpg,A Coca-Cola soda with Espresso Coffee in a 235-mililiters can ,,,,,,,,,,,,,
163358.png,A Coca-Cola soda in a 355-mililiters  can ,,,,,,,,,,,,,
coca-cola-original-lata-355ml.png,A Coca-Cola soda in a 355-mililiters  can ,,,,,,,,,,,,,
coca-cola-original-pnr-1.25l.png,A Coca-Cola soda in a 1.25-liters plastic bottle,,,,,,,,,,,,,
coca-cola-original-pnr-1.75l.png,A Coca-Cola soda in a 1.75-liters plastic bottle,,,,,,,,,,,,,
163810.png,A Coca-Cola soda in a 2.5-liters plastic bottle,,,,,,,,,,,,,
coca-cola-original-pnr-2.5l.png,A Coca-Cola soda in a 2.5-liters plastic bottle,,,,,,,,,,,,,
163948.png,A Coca-Cola soda in a 2.5-liters plastic bottle,,,,,,,,,,,,,
coca-cola-original-pnr-2l.png,A Coca-Cola soda in a 2-liters plastic bottle,,,,,,,,,,,,,
coca-cola-original-pnr-355ml.png,A Coca-Cola soda in a 355-mililiters plastic bottle,,,,,,,,,,,,,
167334.png,A Coca-Cola soda in a 355-mililiters plastic bottle,,,,,,,,,,,,,
7501055372126_0.jpg,A Coca-Cola soda in a 3-liters plastic bottle,,,,,,,,,,,,,
165969_1.png,A Coca-Cola soda in a 600-mililiters plastic bottle,,,,,,,,,,,,,
ccoma_600ml_pnr_1000x1000_2_5_1.jpg,A Coca-Cola soda in a 600-mililiters plastic bottle,,,,,,,,,,,,,
167005.png,A Coca-Cola soda in a 600-mililiters plastic bottle,,,,,,,,,,,,,
7501055355587_0.jpg,A Coca-Cola soda in a 235-mililiters glass bottle,,,,,,,,,,,,,
converted_1__1_3.png,A Coca-Cola soda  in a 1.5-liters returnable plastic bottle,,,,,,,,,,,,,
cceth_0073_coca-cola-2.5l-botella-pet-retornable_1_6.png,A Coca-Cola soda Returnable in a 1.5-liters returnable plastic bottle,,,,,,,,,,,,,
coca-cola-original-vidrio-355ml.png,A Coca-Cola soda Returnable in a 1.5-liters returnable glass bottle,,,,,,,,,,,,,
coca-cola-original-vidrio-500ml.png,A Coca-Cola soda Returnable in a 1.5-liters returnable glass bottle,,,,,,,,,,,,,
ccsa_235ml_leancan_1000x1000_5_3.png,A Coca-Cola sugar free soda in a 235-mililiters  can ,,,,,,,,,,,,,
coca-cola-sin-azucar-lata-355ml-2.png,A Coca-Cola sugar free soda in a 355-mililiters  can ,,,,,,,,,,,,,
coca-cola-sin-azucar-pnr-1.5l.png,A Coca-Cola sugar free soda in a 1.5-liters plastic bottle,,,,,,,,,,,,,
coca-cola-sin-azucar-pnr-2.5l.png,A Coca-Cola sugar free soda in a 2.5-liters plastic bottle,,,,,,,,,,,,,
163897.png,A Coca-Cola sugar free soda in a 2.5-liters plastic bottle,,,,,,,,,,,,,
163378_1_1.png,A Coca-Cola sugar free soda in a 600-mililiters plastic bottle,,,,,,,,,,,,,
coca-cola-sin-azucar-pnr-600ml.png,A Coca-Cola sugar free soda in a 600-mililiters plastic bottle,,,,,,,,,,,,,
163379.png,A Coca-Cola sugar free soda in a 600-mililiters plastic bottle,,,,,,,,,,,,,
converted-2_3.png,A Coca-Cola sugar free soda  in a 355-mililiters returnable glass bottle,,,,,,,,,,,,,
cmx-90_product_shots_variety-packs_04_1_2.jpg,A Coca-Cola sugar free soda  in a 500-mililiters returnable glass bottle,,,,,,,,,,,,,
89_ciel-purificada-1.5-l-botella-pet_4.jpg,A Ciel Purified Water in a 1.5-liters plastic bottle,,,,,,,,,,,,,
750105531088_-_ciel_1lt_pet_4_1.png,A Ciel Purified Water in a 1-liter plastic bottle,,,,,,,,,,,,,
96_ciel-purificada-355-ml-botella-pet-12p_6_1.jpg,A Ciel Purified Water in a 355-mililiters plastic bottle,,,,,,,,,,,,,
7501055310487_0.jpg,A Ciel Purified Water  in a 5-liters plastic bottle,,,,,,,,,,,,,
103_ciel-purificada-600-ml-botella-pet_6.jpg,A Ciel Purified Water  in a 600-mililiters plastic bottle,,,,,,,,,,,,,
93_ciel-purificada-20-l-botella-pet-1p_5.jpg,A Ciel Purified Water in a 20-liters returnable jug,,,,,,,,,,,,,
ciel-exprim-fresa-1.5-l-botella-pet_5.jpg,A Ciel Exprim strawberry flavor water in a 1.5-liters plastic bottle,,,,,,,,,,,,,
39_ciel-exprim-fresa-1-l-botella-pet_5.jpg,A Ciel Exprim strawberry flavor water in a 1-liter plastic bottle,,,,,,,,,,,,,
45_ciel-exprim-jamaica-reposada-1.5-l-botella-pet_5.jpg,A Ciel Exprim jamaica flavor water in a 1.5-liters plastic bottle,,,,,,,,,,,,,
47_ciel-exprim-limon-1.5-l-pet-4p_4.jpg,A Ciel Exprim lemon flavor water in a 1.5-liters plastic bottle,,,,,,,,,,,,,
750105535246---exprim-limon-1lt-pet_4.jpg,A Ciel Exprim lemon flavor water in a 1-liter plastic bottle,,,,,,,,,,,,,
ciel_xprim_vis2017_pepino_pina_pet1ml_seco_3_1_6.jpg,A Ciel Exprim cucumber pineapple  flavor water in a 1-liter plastic bottle,,,,,,,,,,,,,
525_jugo-del-valle-nectar-durazno-335-ml-lata_3.jpg,A Nectar Del Valle Peach Flavor in a 355-mililiters  can ,,,,,,,,,,,,,
durazno_300_3.jpg,A Nectar Del Valle Peach Flavor in a 453-mililiters  can ,,,,,,,,,,,,,
524_jugo-del-valle-nectar-durazno-250-ml-tetra-brik-carton-10p_4.jpg,A Nectar Del Valle Peach Flavor in a 250-mililiters cardboard carton,,,,,,,,,,,,,
750105533385_0.jpg,A Nectar Del Valle Peach Flavor in a 1-liter plastic bottle,,,,,,,,,,,,,
7501055356928_0.jpg,A Nectar Del Valle Peach Flavor in a 237-mililiters plastic bottle,,,,,,,,,,,,,
60339079-ecbe-48b0-ad7a-a817010a1fb1-1_1_2.png,A Nectar Del Valle Peach Flavor in a 500-mililiters glass bottle,,,,,,,,,,,,,
